Project_ID,Project_Type,Terrain,Weather_Risk,Original_Budget_Crores,Original_Timeline_Months,Vendor_Score,Material_Cost_Fluctuation,Labor_Availability,Regulatory_Delays_Days,Final_Cost_Crores,Final_Timeline_Months,Cost_Overrun_Percent,Timeline_Overrun_Percent
1,Underground Cable,Hilly,Moderate,69.43645380345471,28.194901978023285,3.659939613903981,0.11684695680660019,0.8749888992260354,10.841403772519106,110.30612241778368,30.83291821413326,58.85909544000296,9.3563589551267
2,Substation,Hilly,Moderate,49.380834987268535,18.120716684177605,2.041147430264012,-0.3614832250660212,0.9541142443501615,80.89323076193713,77.51445478188349,24.55653941391148,56.97275026205696,35.516380736493815
3,Underground Cable,Desert,Normal,43.285698542268584,21.167138868416103,4.628780122823319,-0.011605858699915933,0.8793576605819604,3.788801478242008,58.47596743565573,21.12911961684157,35.09304321045857,-0.1796145044017327
4,Underground Cable,Hilly,Normal,76.92088414929435,27.628302669961407,3.682929247623336,0.002252883989143404,0.7985776529951509,81.42933314225876,119.05233322226492,36.645295256403216,54.77244514142401,32.63679529703952
5,Substation,Coastal,Extreme,93.10479076866146,33.79667550100915,3.24176252392176,0.08070925802727134,0.8270663685139368,34.54771601700002,133.03985171349098,37.54397208562486,42.89259512333433,11.08776685595546
6,Substation,Plain,Extreme,63.445145688275446,36.98717249839237,1.4439578768539243,-0.006252120358484042,0.944563961970005,22.7511959109994,81.58958139456678,39.68299559607067,28.598619341880386,7.288535228789042
7,Underground Cable,Coastal,Normal,37.54290993797433,11.704416319789436,2.7882221752257017,0.3026861945749858,0.7894033772559703,0.9961281451688487,60.98906064925004,13.624870625743263,62.451607374100035,16.407945970845102
8,Overhead Line,Plain,Extreme,41.637139319814565,26.142009794915698,2.841433084807705,0.032447532235275106,0.8161956621641937,19.364797954415966,60.16512060557027,27.58797085499155,44.49868936346087,5.531177868187755
9,Underground Cable,Plain,Normal,24.231052404853504,35.67594882706817,4.45825443809068,0.158041859886549,0.5782383580018002,15.714697088720092,35.625817226344296,43.177405570518786,47.02546398359656,21.02664957787777
10,Underground Cable,Coastal,Extreme,52.01634844508104,10.517512489904476,3.186592880751154,-0.10851942133054318,0.7369606100580514,5.274162223598123,81.61349844880466,12.366639864657149,56.89970728139894,17.58141363300123
11,Underground Cable,Coastal,Normal,17.408140280473454,26.515067952438777,2.5216021958816386,0.018113520928420154,0.8581985559790495,32.04915116745912,27.677096326299658,30.69558565524284,58.9893916315966,15.766573596201372
12,Underground Cable,Coastal,Normal,61.037273106190014,23.98332962063853,4.907201314042638,0.23213551425433893,0.6354713491581827,106.37030213289114,89.84703012885554,33.844792228511665,47.20026887922,41.11798805194667
